time,mw,u
0.0,8.65100602469,19.6620770149
1.0,8.64616483682,16.6296769012
2.0,8.89369696881,17.5268983768
3.0,8.4961857266,20.5474392312
4.0,0.0,5.41257828639
5.0,0.0,8.10169624793
6.0,0.0,2.65119137181
7.0,0.0,6.37978813997
8.0,0.0,5.23672174611
9.0,0.0,2.38205620366
10.0,8.13949739959,22.3819945422
11.0,8.2662350161,21.8696521242
12.0,8.18700759317,23.2748759229
13.0,0.0,2.26919756332
14.0,7.98254507361,20.6692816851
15.0,0.0,1.9251947363
16.0,7.97818320231,15.5619415596
17.0,8.1796077702,20.5733510155
18.0,8.00047917341,18.4115886014
19.0,8.43741213947,15.2059413755
20.0,8.80941093903,16.8909303383
21.0,8.70717324369,13.2580485744
22.0,8.61844156859,15.9513906007
23.0,8.12008412832,10.9312555324
24.0,7.32342605386,5.30492675181
25.0,7.65887432791,3.26739141635
26.0,3.62470485843,1.18266045278
27.0,2.86323996253,0.451327431012
28.0,2.7853365507,1.22392315957
29.0,1.33706665039,1.54480291056
30.0,0.952179133281,3.0672544772
31.0,0.529026388584,1.1723707073
32.0,1.48639674514,2.39780777456
33.0,1.88616980493,2.09241593013
34.0,2.83986576206,4.30072914737
35.0,2.78427035698,0.671011578189
36.0,2.20872328309,1.22552534402
37.0,1.90412739056,3.19558386515
38.0,1.41467600824,7.76932363528
39.0,0.0,6.54947862331
40.0,1.89399965691,10.1873017989
41.0,2.98430343454,11.2153937507
42.0,3.27012780793,10.5931632417
43.0,2.29142366174,8.11136535978
44.0,2.86931370574,7.0566065988
45.0,3.02047747867,5.14441058758
46.0,2.63078943265,8.47109272144
47.0,3.15725502425,4.57171721141
48.0,3.27897544379,6.18233286802
49.0,4.46746473783,9.30979449492
50.0,4.20085569537,8.42319625575
51.0,6.12596932765,6.22213368352
52.0,0.0,1.85831894745
53.0,0.0,8.59644355255
54.0,0.0,5.35453188318
55.0,6.30289230078,5.15588370694
56.0,4.08817967163,3.60101707067
57.0,2.79993819015,6.54499166729
58.0,3.24302050255,9.7837736694
59.0,3.77489604052,8.7971782805
60.0,2.66164689581,6.60910317771
61.0,1.46053801504,9.63823392617
62.0,1.5518581293,7.87479407617
63.0,2.57843677515,5.58709235046
64.0,3.45536764113,4.94999075329
65.0,3.0359322847,3.27129617019
66.0,1.52971652143,7.42944670162
67.0,1.46865091249,4.09939102547
68.0,0.602094105763,8.3279608106
