time,power_data,power_norm
0.0,0.0,-116.801308311
1.0,0.0,-226.075277238
2.0,0.0,-188.775105317
3.0,0.0,-161.912395399
4.0,0.0,-13.282050597
5.0,0.0,24.8081727668
6.0,0.0,1.28462383035
7.0,284.348434064,391.085755999
8.0,267.343392009,-289.935284648
9.0,1299.89336851,-93.4590053394
10.0,1297.13423582,2726.65719946
11.0,2835.31254883,2692.17697009
12.0,2525.55081571,2415.17384177
13.0,1344.85519763,8.70352337173
14.0,1300.94533381,-238.16621518
15.0,1209.45854659,646.501026562
16.0,1309.04296457,839.01877788
17.0,0.0,-274.414912832
18.0,0.0,104.978901567
19.0,0.0,-94.0849012819
20.0,0.0,-81.3605049714
21.0,0.0,-35.2612726772
22.0,0.0,436.222247756
23.0,0.0,393.053789462
24.0,0.0,46.6144185486
25.0,0.0,-90.4349803862
26.0,0.0,211.762046762
27.0,0.0,179.425887401
28.0,0.0,-38.9283026623
29.0,0.0,40.9291064766
30.0,0.0,5.68015100053
31.0,1311.25512077,129.441797851
32.0,1313.09652666,-159.451873077
33.0,1334.10190328,2215.26170333
34.0,1352.56463215,384.02377118
35.0,1301.46699521,2285.65336496
36.0,1317.15161577,2115.4711131
37.0,1339.61522637,2400.98510287
38.0,1327.65826098,2956.15711166
39.0,831.161491398,1209.57267712
40.0,785.650176783,2155.75526974
41.0,0.0,317.280849921
42.0,0.0,-93.6421463189
43.0,0.0,-111.848007708
44.0,0.0,425.372959492
45.0,0.0,338.401187735
46.0,0.0,459.811050872
47.0,0.0,-25.5282427446
48.0,0.0,722.191537694
49.0,0.0,-47.3008813781
50.0,0.0,33.3493115882
51.0,0.0,-66.3206324982
52.0,0.0,643.731153298
53.0,0.0,214.906233405
54.0,0.0,83.8984608576
55.0,1311.64579851,2303.96167954
56.0,1310.91249696,3410.84752673
57.0,1317.43540029,3470.05187958
58.0,1750.47516356,3395.67368483
59.0,3471.76105949,3561.30707651
60.0,3511.26614075,3189.54697277
61.0,4319.61598242,3160.38092904
62.0,3581.18260817,2303.91921972
63.0,1345.73183274,2961.73254687
64.0,1341.54289249,2031.28401911
