time,power_data,power_norm
0.0,0.0,-133.638707152
1.0,0.0,-198.569267471
2.0,0.0,-188.965635465
3.0,0.0,-82.1803427997
4.0,0.0,206.161600442
5.0,0.0,-23.8004441553
6.0,0.0,296.803486336
7.0,115.806573992,1409.03074509
8.0,211.840476955,-192.935877487
9.0,232.51681547,-45.3591689994
10.0,85.1556763829,-0.388578137581
11.0,1298.22794805,81.4153535351
12.0,1316.67769266,794.712486636
13.0,1336.75474909,2729.20117459
14.0,3299.09708521,3763.36701418
15.0,4157.46576832,3466.65957772
16.0,3846.91394528,2998.98552086
17.0,0.0,16.4139042901
18.0,0.0,-13.8004399456
19.0,0.0,-167.074285575
20.0,0.0,-167.22901519
21.0,0.0,-168.093398777
22.0,0.0,-60.2027944298
23.0,0.0,-65.8998584411
24.0,0.0,-29.7980634262
25.0,0.0,-155.832222412
26.0,0.0,176.212211124
27.0,0.0,-122.945779686
28.0,0.0,-275.56483503
29.0,0.0,51.8551284594
30.0,0.0,156.277891609
31.0,3796.48209167,1921.5308344
32.0,1267.04219514,10.8556393569
33.0,1120.13494832,-245.380584457
34.0,1305.46774973,-354.613072531
35.0,1312.24009179,-292.367894953
36.0,1309.80542296,900.81647729
37.0,1299.56826276,343.569646707
38.0,247.596797941,-540.300158222
39.0,283.174235971,-242.193939614
40.0,1300.72956338,2602.50766218
41.0,0.0,-197.427886844
42.0,0.0,-35.3610837896
43.0,0.0,-200.578513495
44.0,0.0,136.723494059
45.0,0.0,56.4136279777
46.0,0.0,-24.9409943587
47.0,0.0,-185.495245737
48.0,0.0,53.5755119338
49.0,0.0,-75.9442852245
50.0,0.0,123.094212625
51.0,0.0,-17.2880292468
52.0,0.0,-0.770646691659
53.0,0.0,-35.690388625
54.0,0.0,-81.6270523556
55.0,1342.02701126,2845.79417896
56.0,2045.87733467,3669.99542754
57.0,1598.78266165,3448.4789531
58.0,2861.0377454,3118.35428256
59.0,2499.30965362,2397.06824418
60.0,1351.77394702,3054.05755093
61.0,1350.21110264,1685.55123903
62.0,1440.07338514,274.758506771
63.0,1875.40325588,-104.038141698
64.0,161.232626792,-625.139901549
65.0,0.0,-43.996228976
66.0,0.0,57.9658769823
67.0,0.0,-21.5912038109
68.0,0.0,-156.441541207
69.0,0.0,89.6426474578
70.0,0.0,81.5670721804
71.0,0.0,74.7677981924
72.0,0.0,-53.1069608084
73.0,0.0,280.772907534
74.0,0.0,2.98480149257
75.0,0.0,45.6450016937
76.0,0.0,67.6350813241
77.0,0.0,49.8885850896
78.0,0.0,-63.6963218584
79.0,58.2514507538,-669.614956819
80.0,330.256451115,-481.518007573
81.0,246.987919761,-621.591268578
82.0,84.34980058,35.2815581751
83.0,313.098126485,467.929197069
84.0,99.8500074711,1930.07236354
85.0,1331.42329383,2296.37184152
86.0,1357.18501169,3051.52965027
87.0,3418.36480276,3616.41489009
88.0,3848.98468787,3810.53769747
89.0,0.0,-18.4579873482
90.0,0.0,368.876138334
91.0,0.0,64.8491382867
92.0,0.0,16.2407928346
93.0,0.0,217.405510712
94.0,0.0,-55.3356535455
95.0,0.0,617.821772943
96.0,0.0,848.46618716
97.0,0.0,-36.1734791602
98.0,0.0,106.711568988
99.0,0.0,54.1990146638
100.0,0.0,425.09692753
101.0,0.0,30.9643923313
102.0,0.0,248.216276689
103.0,3132.89179279,3676.38545462
104.0,4103.16038364,3497.60286232
105.0,3111.13260312,2397.9218149
106.0,1365.63033274,2244.67593192
107.0,1340.37622706,3499.10510655
108.0,1365.50085235,3867.3848481
109.0,1328.10023632,2594.09856332
110.0,1349.64227536,1031.29415436
111.0,1341.27964796,621.147946431
112.0,1324.1727074,-1.57462986146
113.0,0.0,860.786889108
114.0,0.0,53.178019032
115.0,0.0,550.390249702
116.0,0.0,144.680460798
117.0,0.0,863.62690729
118.0,0.0,48.7286495724
119.0,0.0,569.859345564
120.0,0.0,563.373810001
121.0,0.0,1124.10496645
122.0,0.0,1027.82023587
123.0,0.0,883.943248737
