time,power_data,power_norm
0.0,0.0,-31.0529722752
1.0,0.0,-159.708362034
2.0,0.0,-52.5015292798
3.0,0.0,-275.310566914
4.0,0.0,-192.370336983
5.0,0.0,-179.54361786
6.0,0.0,-105.300090259
7.0,324.470436468,1262.80409657
8.0,177.725156273,-580.603013101
9.0,298.412263085,-521.824055326
10.0,1300.75816752,-212.002527826
11.0,1326.01954317,1889.72347506
12.0,1333.97784012,425.715784596
13.0,1305.60195722,1187.37965177
14.0,1295.34619393,-575.675164446
15.0,305.20900849,-765.692560765
16.0,323.659310581,-764.444652087
17.0,0.0,-191.353447165
18.0,0.0,-214.071972324
19.0,0.0,-237.393217171
20.0,0.0,-118.678108174
21.0,0.0,-183.93034068
22.0,0.0,-103.778127333
23.0,0.0,-256.597811359
24.0,0.0,-145.273617891
25.0,0.0,-215.914819678
26.0,0.0,-216.197741049
27.0,0.0,-304.780703483
28.0,0.0,-237.415583282
29.0,0.0,-83.8653629355
30.0,0.0,-139.027616688
31.0,401.409795873,-590.031579426
32.0,321.779966003,-41.0761476939
33.0,102.41780571,-140.066462803
34.0,154.211524151,-382.553696017
35.0,451.009847663,-37.7368694585
36.0,1316.86097721,-125.396735304
37.0,1251.10064919,2312.17490918
38.0,1309.57135507,1883.90829261
39.0,1324.58691685,2237.24766032
40.0,1791.06384851,1423.26500756
41.0,0.0,-249.720538492
42.0,0.0,-226.208332934
43.0,0.0,-152.419354153
44.0,0.0,-153.842052869
45.0,0.0,-164.646750085
46.0,0.0,-155.64610133
47.0,0.0,-203.870736802
48.0,0.0,-42.9867299137
49.0,0.0,-240.316941026
50.0,0.0,-102.438710753
51.0,0.0,-174.826318696
52.0,0.0,-149.432365074
53.0,0.0,-160.361691842
54.0,0.0,-176.612523055
55.0,1796.18716296,1581.23606566
56.0,1348.89873055,1264.05843453
57.0,1351.01992807,-52.2233273909
58.0,1038.99734381,-6.71829445411
59.0,279.5378067,3109.72583896
60.0,64.5107814869,-198.618855991
61.0,275.387282747,-391.450359199
62.0,119.10133284,-19.4407337118
63.0,793.796307802,2248.52711833
64.0,1379.19838055,1890.17944582
65.0,0.0,-214.174062523
66.0,0.0,13.6220125337
67.0,0.0,-144.084025744
68.0,0.0,74.001047932
69.0,0.0,-160.579257718
70.0,0.0,-183.374291307
71.0,0.0,-148.468445518
72.0,0.0,-21.193132753
73.0,0.0,-197.296844913
74.0,0.0,-170.490912935
75.0,0.0,-137.951024674
76.0,0.0,-156.486676038
77.0,0.0,-128.578381584
78.0,0.0,-67.8524272375
79.0,1354.56989524,3001.32781539
80.0,2888.13009166,3286.87212056
81.0,2270.95910196,3221.6224657
82.0,3579.3210038,2952.13922137
83.0,3543.76740321,3141.74023372
84.0,1350.85855537,1489.88710129
85.0,172.811992782,-283.838659627
86.0,41.1786092376,-159.617444637
87.0,393.079476753,-458.948105861
88.0,373.961518052,-762.889754028
89.0,0.0,276.528205995
90.0,0.0,45.9504362076
91.0,0.0,-36.8706166822
92.0,0.0,-83.6509319119
93.0,0.0,-69.814291526
94.0,0.0,67.948323671
95.0,0.0,22.8445726364
96.0,0.0,-153.842301562
97.0,0.0,294.397985615
98.0,0.0,-151.567605925
99.0,0.0,-141.827558693
100.0,0.0,37.414959091
101.0,0.0,90.2370296467
102.0,0.0,313.126337755
103.0,413.239680329,-764.967054574
104.0,378.748596281,-313.124970297
105.0,1321.85936959,1070.02521879
106.0,1327.11810464,2437.9711233
107.0,1335.57552374,2556.43545842
108.0,1325.28399892,3100.96962153
109.0,2957.45975078,3421.06827995
110.0,4030.55293424,3778.74230069
111.0,4340.47879656,3200.11510151
112.0,4366.52274783,2861.2552977
113.0,0.0,53.9977281771
114.0,0.0,-65.5608246466
115.0,0.0,-67.4691767999
116.0,0.0,85.1979868719
117.0,0.0,8.42844836874
118.0,0.0,-36.313471232
119.0,0.0,-70.8202647166
120.0,0.0,18.2595879179
121.0,0.0,1.45389781701
122.0,0.0,52.252573686
123.0,0.0,-122.120746937
124.0,0.0,98.2765660052
125.0,0.0,318.287382714
126.0,0.0,-71.1807607268
127.0,1348.45645585,1984.27408934
128.0,1321.65050717,-282.555857861
129.0,321.03592292,-509.50686994
130.0,390.916333273,-175.353479631
131.0,351.382683164,-378.577225055
132.0,281.831231604,-237.818547943
133.0,1336.65638126,1627.90182546
134.0,1334.51655523,-70.0119679306
135.0,1325.26402971,-185.571101897
136.0,1341.15558708,-114.547129945
137.0,0.0,-67.9398320874
138.0,0.0,-238.472207447
139.0,0.0,-93.5167744449
140.0,0.0,-166.015074359
141.0,0.0,-86.1315167302
142.0,0.0,-188.936344257
143.0,0.0,-56.8959255503
144.0,0.0,35.2167265068
145.0,0.0,-61.5016936156
146.0,0.0,-122.628887763
147.0,0.0,81.8721106523
148.0,0.0,-88.6173932464
149.0,0.0,31.3543758731
150.0,0.0,13.0465206584
151.0,1371.73382407,1391.17525799
152.0,1374.39810682,2219.37963179
153.0,1328.70725514,439.645708214
154.0,1354.49645024,-186.242747952
155.0,1354.25671146,1.91027260763
156.0,1228.72117498,-653.764549449
157.0,468.157332969,-396.357159759
158.0,132.241000074,-261.236598141
159.0,152.357142557,114.248800572
160.0,74.4953568593,442.603500398
161.0,0.0,-74.0396790296
162.0,0.0,-54.626313408
163.0,0.0,-100.917925026
164.0,0.0,-151.296682791
165.0,0.0,-30.0010238566
166.0,0.0,130.032575984
167.0,0.0,-144.677895862
168.0,0.0,-71.0234743884
169.0,0.0,-136.874380505
170.0,0.0,-106.147985272
171.0,0.0,-67.6790228604
172.0,0.0,-103.479517737
173.0,0.0,-88.4363611661
174.0,0.0,-198.923758158
175.0,566.20449249,-508.808525638
176.0,1015.75770831,-194.206078268
177.0,1213.37293184,-138.953855485
178.0,234.972106947,-130.911971546
179.0,65.9775645005,2554.50237625
180.0,1350.33402911,2407.75714638
181.0,1358.1885303,2059.13189903
182.0,1371.10607935,-92.7484970316
183.0,1380.15134944,1254.44821257
184.0,2930.94158291,2718.51112269
185.0,0.0,-51.8906747118
186.0,0.0,-220.713198459
187.0,0.0,-210.866446076
188.0,0.0,-97.126238199
189.0,0.0,-80.3122582624
190.0,0.0,-208.355887948
191.0,0.0,-114.093742301
192.0,0.0,-75.2968263954
193.0,0.0,-219.833625299
194.0,0.0,-93.4878857915
195.0,0.0,-78.4807687354
196.0,0.0,-132.659589378
197.0,0.0,-3.72008510354
198.0,0.0,-36.5288064393
199.0,3013.25290243,3319.3467075
200.0,1382.50307309,3308.2114496
201.0,1337.52346874,3010.0460129
202.0,1375.95928914,1260.96932733
203.0,1363.73427295,2133.34220562
204.0,1375.95458887,2499.93985528
205.0,1370.19547325,2297.98539922
206.0,2445.8703432,1645.46673217
207.0,2648.55477117,862.403461175
208.0,1835.1320754,762.200232227
209.0,0.0,-279.829542862
210.0,0.0,-96.1801031758
211.0,0.0,-63.4997312784
212.0,0.0,-84.8354717657
213.0,0.0,-9.51394976639
214.0,0.0,-137.598695134
